code,object_laag,group_code
KDU037644,culverts,kw_groep_001
KDU408281,culverts,kw_groep_001
KDU037775,culverts,kw_groep_002
KDU408240,culverts,kw_groep_002
KDU037775,culverts,kw_groep_003
KDU408240,culverts,kw_groep_003
KDU026081,culverts,kw_groep_004
KDU004547,culverts,kw_groep_004
KDU001858,culverts,kw_groep_005
KDU010744,culverts,kw_groep_005
KDU010743,culverts,kw_groep_005
KDU010755,culverts,kw_groep_005
KDU010745,culverts,kw_groep_005
KDU007758,culverts,kw_groep_006
KDU004650,culverts,kw_groep_006
KDU004643,culverts,kw_groep_006
KDU004667,culverts,kw_groep_006
KDU004718,culverts,kw_groep_006
KDU004773,culverts,kw_groep_006
KDU007995,culverts,kw_groep_007
KDU010516,culverts,kw_groep_007
KDU008182,culverts,kw_groep_007
KDU008888,culverts,kw_groep_007
KDU010761,culverts,kw_groep_008
KDU010760,culverts,kw_groep_008
KDU010732,culverts,kw_groep_008
KDU010759,culverts,kw_groep_008
KDU010763,culverts,kw_groep_008
KDU010436,culverts,kw_groep_009
KDU007396,culverts,kw_groep_009
KDU010437,culverts,kw_groep_010
KDU010739,culverts,kw_groep_010
KDU007534,culverts,kw_groep_011
KDU007564,culverts,kw_groep_011
KDU001561,culverts,kw_groep_012
KDU001562,culverts,kw_groep_012
KDU001557,culverts,kw_groep_013
KDU001560,culverts,kw_groep_013
KDU002198,culverts,kw_groep_014
KDU002282,culverts,kw_groep_014
KDU006503,culverts,kw_groep_015
KDU006567,culverts,kw_groep_015
KDU006139,culverts,kw_groep_015
KDU006247,culverts,kw_groep_015
KDU006500,culverts,kw_groep_016
KDU006568,culverts,kw_groep_016
KDU007717,culverts,kw_groep_016
KDU010198,culverts,kw_groep_016
KDU001554,culverts,kw_groep_017
KDU007864,culverts,kw_groep_017
KDU007883,culverts,kw_groep_017
KDU007914,culverts,kw_groep_017
KDU008892,culverts,kw_groep_018
KDU008965,culverts,kw_groep_018
KDU008891,culverts,kw_groep_018
KDU010578,culverts,kw_groep_018
KDU002314,culverts,kw_groep_019
KDU002296,culverts,kw_groep_019
KDU005807,culverts,kw_groep_020
KDU005977,culverts,kw_groep_020
KDU010737,culverts,kw_groep_020
KDU004619,culverts,kw_groep_021
KDU004855,culverts,kw_groep_021
KDU005268,culverts,kw_groep_021
KDU010730,culverts,kw_groep_021
KDU010742,culverts,kw_groep_022
KDU010741,culverts,kw_groep_022
KDU010740,culverts,kw_groep_022
KDU010729,culverts,kw_groep_022
KDU000116,culverts,kw_groep_023
KDU000099,culverts,kw_groep_023
KDU037752,culverts,kw_groep_024
KDU037751,culverts,kw_groep_024
KDU006648,culverts,kw_groep_024
KDU004853,culverts,kw_groep_025
KDU004854,culverts,kw_groep_025
KDU010764,culverts,kw_groep_025
KDU010765,culverts,kw_groep_025
KDU002643,culverts,kw_groep_025
KDU001959,culverts,kw_groep_026
KDU001956,culverts,kw_groep_026
KDU001857,culverts,kw_groep_026
KDU001955,culverts,kw_groep_026
KDU001957,culverts,kw_groep_026
KDU007397,culverts,kw_groep_027
KDU007522,culverts,kw_groep_027
KDU034538,culverts,kw_groep_028
KDU034537,culverts,kw_groep_028
KDU000002,culverts,kw_groep_028
KDU010437,culverts,kw_groep_029
KDU010739,culverts,kw_groep_029
KDU006133,culverts,kw_groep_030
KDU005997,culverts,kw_groep_030
KDU010738,culverts,kw_groep_030
KDU010756,culverts,kw_groep_031
KDU010750,culverts,kw_groep_031
KDU010757,culverts,kw_groep_031
KDU010758,culverts,kw_groep_031
KDU010731,culverts,kw_groep_031
KDU010749,culverts,kw_groep_032
KDU010747,culverts,kw_groep_032
KDU010748,culverts,kw_groep_032
KDU010746,culverts,kw_groep_032
KDU010754,culverts,kw_groep_032
KDU010774,culverts,kw_groep_033
KDU010767,culverts,kw_groep_033
KDU010752,culverts,kw_groep_033
KDU010751,culverts,kw_groep_033
KDU010753,culverts,kw_groep_033
KDU010733,culverts,kw_groep_033
KDU003875,culverts,kw_groep_034
KDU004599,culverts,kw_groep_034
KDU002644,culverts,kw_groep_034
KDU004332,culverts,kw_groep_034
KDU004603,culverts,kw_groep_034
KDU010734,culverts,kw_groep_034
KDU002146,culverts,kw_groep_035
KDU002106,culverts,kw_groep_035
KDU002046,culverts,kw_groep_035
KDU002013,culverts,kw_groep_035
KDU002093,culverts,kw_groep_035
KDU001827,culverts,kw_groep_036
KDU001954,culverts,kw_groep_036
KDU001953,culverts,kw_groep_036
KDU001929,culverts,kw_groep_036
KDU001952,culverts,kw_groep_036
KDU001743,culverts,kw_groep_037
KDU001699,culverts,kw_groep_037
KDU001671,culverts,kw_groep_037
KDU001575,culverts,kw_groep_037
KDU001687,culverts,kw_groep_037
KDU010436,culverts,kw_groep_038
KDU007396,culverts,kw_groep_038
KDU026081,culverts,kw_groep_039
KDU004547,culverts,kw_groep_039
KDU021251,culverts,kw_groep_040
KDU003410,culverts,kw_groep_040
